PlanetName/Fei	71	Элиари
PlanetName/Fei	72	Иллэйна
PlanetName/Fei	73	Аэлинис
PlanetName/Fei	74	Умейра
PlanetName/Fei	75	Эншали
PlanetName/Fei	76	Иолента
PlanetName/Fei	77	Андейла
PlanetName/Fei	78	Эришай
PlanetName/Fei	79	Омнили
PlanetName/Fei	80	Айрелла
PlanetName/Gaal	71	Наэли-о
PlanetName/Gaal	72	Тиара-мун
PlanetName/Gaal	73	Эллу-наи
PlanetName/Gaal	74	Оора-ти
PlanetName/Gaal	75	Лаани-фей
PlanetName/Gaal	76	Иоон-эра
PlanetName/Gaal	77	Маали-ну
PlanetName/Gaal	78	Тэри-ая
PlanetName/Gaal	79	Ууна-лей
PlanetName/Gaal	80	Эари-ло
PlanetName/Maloc	71	Гардуран
PlanetName/Maloc	72	Рак Таргад
PlanetName/Maloc	73	Заргудан
PlanetName/Maloc	74	Кран Магур
PlanetName/Maloc	75	Драгомар
PlanetName/Maloc	76	Ран Гарад
PlanetName/Maloc	77	Мардокан
PlanetName/Maloc	78	Тур Багар
PlanetName/Maloc	79	Карадун
PlanetName/Maloc	80	Гранитар
PlanetName/Peleng	71	Лихцара
PlanetName/Peleng	72	Шархан
PlanetName/Peleng	73	Эцилх
PlanetName/Peleng	74	Рашхен
PlanetName/Peleng	75	Цирхас
PlanetName/Peleng	76	Лакшин
PlanetName/Peleng	77	Зирцах
PlanetName/Peleng	78	Эшхали
PlanetName/Peleng	79	Грахц
PlanetName/Peleng	80	Ицхаран
PlanetName/People	71	Аврелия
PlanetName/People	72	Каллисто
PlanetName/People	73	Эридана
PlanetName/People	74	Новатерра
PlanetName/People	75	Океания
PlanetName/People	76	Гесперия
PlanetName/People	77	Лакония
PlanetName/People	78	Аркадия
PlanetName/People	79	Терция
PlanetName/People	80	Валерия
PlanetName/None	301	Абелия
PlanetName/None	302	Бореал
PlanetName/None	303	Веспера
PlanetName/None	304	Гелиада
PlanetName/None	305	Дельфира
PlanetName/None	306	Элизион
PlanetName/None	307	Жермина
PlanetName/None	308	Зефира
PlanetName/None	309	Иллария
PlanetName/None	310	Кассида
PlanetName/None	311	Люцера
PlanetName/None	312	Меридия
PlanetName/None	313	Нивея
PlanetName/None	314	Орианта
PlanetName/None	315	Персея
PlanetName/None	316	Реалис
PlanetName/None	317	Селена
PlanetName/None	318	Талерия
PlanetName/None	319	Урсина
PlanetName/None	320	Фарос
PlanetName/None	321	Хиония
PlanetName/None	322	Церера
PlanetName/None	323	Эврика
PlanetName/None	324	Ювента
PlanetName/None	325	Ясмира
PlanetName/None	326	Актея
PlanetName/None	327	Брисеида
PlanetName/None	328	Валланис
PlanetName/None	329	Гелиора
PlanetName/None	330	Доралис
PlanetName/None	331	Эстелла
PlanetName/None	332	Инария
PlanetName/None	333	Келания
PlanetName/None	334	Лавиния
PlanetName/None	335	Меланта
PlanetName/None	336	Нарвия
PlanetName/None	337	Офелия
PlanetName/None	338	Праксия
PlanetName/None	339	Ровена
PlanetName/None	340	Солария
PlanetName/None	341	Талос
PlanetName/None	342	Утопия
PlanetName/None	343	Фиорина
PlanetName/None	344	Ахерон
PlanetName/None	345	Пандора
PlanetName/None	346	Кобол
PlanetName/None	347	Эндор
PlanetName/None	348	Солярис
PlanetName/None	349	Миллер
PlanetName/None	350	Орвилл
