00	Тарон,Star.Normal
01	Пхедок,Star.Normal
02	Солнце,Star.Small
03	Атлан,Star.Normal
04	Краа,Star.Small
05	Ицар,Star.Small
06	Муфрид,Star.Normal
07	Фомальгаут,Star.Small
08	Альфард,Star.Normal
09	Хезе,Star.Normal
10	Растабан,Star.Small
11	Альдиба,Star.Normal
12	Шедир,Star.Small
13	Канопус,Star.Normal
14	Авиор,Star.Small
15	Менкар,Star.Normal
16	Денеб,Star.Small
17	Денебола,Star.Normal
18	Процион,Star.Small
19	Альтаир,Star.Normal
20	Бетельгейзе,Star.Small
21	Беллатрикс,Star.Normal
22	Шеат,Star.Small
23	Наккар,Star.Normal
24	Орион,Star.Small
25	Алфекка,Star.Small
26	Алиот,Star.Normal
27	Регулус,Star.Normal
28	Хамаль,Star.Normal
29	Акхарра,Star.Small
30	Кастор,Star.Normal
31	Маркаб,Star.Small
32	Хемни,Star.Normal
33	Антарес,Star.Small
34	Атрия,Star.Normal
35	Мегрез,Star.Small
36	Поллюкс,Star.Normal
37	Арц,Star.Small
38	Кефрон,Star.Normal
39	Вакхар,Star.Small
40	Витта Прайонис,Star.Normal
41	Гевер,Star.Small
42	Шомма,Star.Normal
43	Виннатрикс,Star.Small
44	Велес,Star.Normal
45	Таллот,Star.Small
46	Арктур,Star.Normal
47	Диатар,Star.Small
48	Элга,Star.Normal
49	Аркабе,Star.Small
50	Капелла,Star.Normal
51	Арракис,Star.Small
52	Сафрона,Star.Normal
53	Аль Дагор,Star.Small
54	Завия,Star.Small
55	Диадема,Star.Small
56	Озеум,Star.Normal
57	Ригель,Star.Small
58	Тураис,Star.Small
59	Селиостр,Star.Small
60	Цуфай,Star.Normal
61	Юфалли,Star.Normal
62	Муррац,Star.Small
63	Миннавер,Star.Small
64	Эйрон,Star.Small
65	Фелгест,Star.Small
66	Рекц,Star.Normal
67	Сезерк,Star.Normal
68	Укфал,Star.Normal
69	Сезмен,Star.Normal
70	Тортугац,Star.Small
71	Нифигац,Star.Normal
72	Сириус,Star.Normal
73	Вега,Star.Small
74	Альдебаран,Star.Normal
75	Спика,Star.Small
76	Мира,Star.Normal
77	Полярис,Star.Normal
78	Альголь,Star.Small
79	Мицар,Star.Normal
80	Алькор,Star.Small
81	Дубхе,Star.Normal
82	Мерак,Star.Small
83	Ахернар,Star.Normal
84	Хадар,Star.Small
85	Адара,Star.Normal
86	Нави,Star.Normal
87	Садахбия,Star.Small
88	Эниф,Star.Normal
89	Майя,Star.Small
90	Меропа,Star.Normal
91	Электра,Star.Small
92	Тайгета,Star.Normal
93	Аламак,Star.Small
94	Алнитак,Star.Normal
95	Альнилам,Star.Small
96	Минтака,Star.Normal
97	Саиф,Star.Small
98	Табит,Star.Normal
99	Унукалхай,Star.Small
100	Расальхаг,Star.Normal
101	Целбальрай,Star.Small
102	Сабик,Star.Normal
103	Каус,Star.Small
104	Аскелла,Star.Normal
105	Нунки,Star.Small
106	Альбали,Star.Normal
107	Садалмелик,Star.Small
108	Садалсууд,Star.Normal
109	Денебальгеди,Star.Small
110	Шаула,Star.Normal
111	Лесат,Star.Small
112	Акраб,Star.Normal
113	Джаббах,Star.Small
114	Альнаир,Star.Normal
115	Миаплацид,Star.Small
116	Регор,Star.Normal
117	Сухайль,Star.Small
118	Наос,Star.Normal
119	Саргас,Star.Small
120	Гакрукс,Star.Normal
121	Мимоза,Star.Small
122	Акрукс,Star.Normal
123	Толиман,Star.Small
124	Ригилкент,Star.Normal
125	Альхена,Star.Small
126	Васат,Star.Normal
127	Мекбуда,Star.Small
128	Пропус,Star.Normal
129	Изар,Star.Small
130	Корнефорос,Star.Normal
131	Зубенэльгенуби,Star.Small
132	Зубенешамали,Star.Normal
133	Укдах,Star.Small
134	Рукбат,Star.Normal
135	Аркаб,Star.Small
136	Дабих,Star.Normal
